id,value
251,-3.216E+00
359,-3.433E+00
447, 2.234E+00
501, 4.243E+00
545, 2.405E-01
566, 1.801E+00
595, 8.556E+00
664, 1.346E+01
689,-3.462E+00
702,-2.096E+00
750,-2.154E+00
905, 3.710E+00
1027, 5.624E+00
1066, 4.626E+00
1098,-2.770E+00
1225,-5.463E+00
1261, 4.882E+00
1267,-4.359E+00
1371, 5.056E-01
1407, 4.368E+00
1431, 2.019E+00
1434,-2.775E+00
1444, 3.345E+00
105, 2.618E+00
115, 5.969E+00
250, 1.531E+00
297,-2.021E+00
360, 3.116E+00
368, 9.006E-01
371, 3.266E+00
413,-1.354E+00
562,-3.989E-01
601,-3.143E-01
690,-6.081E-01
743,-1.446E+00
808,-1.068E+00
846,-4.932E-01
889, 1.496E+00
895, 3.074E-01
928, 4.080E-01
957, 1.081E+00
965,-3.632E-01
1025,-6.897E-01
1044, 9.669E-01
1054, 7.944E-01
1080,-8.952E-01
1213, 1.922E+00
1359,-1.044E+00
92,-2.622E+00
180,-1.516E+00
290, 4.645E-03
391,-1.294E+00
420,-1.533E+00
432,-1.640E+00
588, 9.372E-02
613, 1.330E-01
719,-4.395E-02
938, 1.611E+00
966, 1.556E+00
1089, 7.323E-04
1111, 3.665E+00
1136,-2.098E-01
1224, 1.249E+00
1286, 2.643E+00
1313,-2.613E+00
1361, 2.909E+00
61, 1.817E+00
86,-1.606E-01
279,-2.600E+00
346,-1.195E-01
412,-4.385E-01
512, 3.538E+00
517, 2.474E-01
599, 4.234E-01
626, 1.502E+00
684, 1.738E+00
844, 3.288E+00
961, 3.142E+00
990, 5.529E-01
1218,-1.547E+00
1354, 2.286E+00
47,-2.220E-05
89,-3.027E+00
96,-5.968E+00
98,-2.670E+00
114,-1.987E+00
117,-5.869E+00
119, 2.709E+00
144,-1.034E+00
195,-3.428E+00
235, 2.131E+00
242,-4.364E+00
283,-1.820E+00
308,-1.271E+00
312, 0.000E+00
427, 5.448E+00
454,-2.313E+00
457,-3.900E+00
490, 2.483E+00
498,-3.879E+00
576,-2.548E+00
577,-1.571E+00
632,-6.520E-02
637, 0.000E+00
640, 6.627E+00
681, 0.000E+00
704, 2.856E+00
754, 5.216E+00
776,-8.851E+00
782,-2.187E+00
818, 5.677E+00
823,-1.178E+00
826,-6.588E+00
910,-3.878E+00
930,-2.935E+00
975, 6.376E+00
1022, 0.000E+00
1033,-1.607E+00
1096, 5.411E+00
1172, 1.674E+00
1221, 0.000E+00
1322,-7.540E+00
1357,-1.674E+00
1365,-3.027E+00
1406, 0.000E+00
1423,-3.321E+00
1433,-1.228E+00
27,-5.320E+00
53, 4.291E+00
99, 4.702E+00
170, 1.070E-01
212,-9.845E-01
217, 2.289E+00
241,-3.267E+00
330,-1.503E+00
353,-2.237E+00
356,-2.262E+00
507, 1.973E+00
521,-1.908E+00
544, 4.161E+00
547,-3.263E+00
615,-1.381E+00
656,-1.994E+00
687, 3.649E+00
697,-5.212E-01
730, 4.885E+00
830,-2.548E+00
850,-4.496E+00
879,-2.806E+00
885,-7.942E-01
953,-2.022E+00
978,-6.215E+00
1045,-2.564E+00
1091,-2.562E+00
1149,-2.147E+00
1179, 2.606E+00
1246, 1.526E+00
1305,-1.510E+00
1372,-6.852E+00
1424,-2.975E+00
14,-9.272E+00
128, 0.000E+00
155,-2.084E+01
270,-1.329E+01
271,-5.968E+00
325,-7.760E+00
406, 8.383E+00
462,-1.067E+01
666, 5.079E+00
674,-2.030E+01
741,-7.529E+00
784,-1.820E+00
856,-3.647E+00
866, 0.000E+00
981,-1.067E+01
1010, 8.402E+00
1013,-7.963E+00
1087,-3.994E+00
1131, 5.448E+00
1139,-7.685E+00
1203,-8.545E+00
1269,-3.466E+00
1288, 8.357E+00
1323, 6.407E+00
1397, 0.000E+00
146,-5.299E+00
169,-6.309E+00
177, 7.623E+00
320,-6.659E+00
332,-1.347E+01
523,-1.181E+00
584,-2.858E+00
787,-1.857E+01
857,-7.274E+00
919,-6.050E+00
986, 7.621E+00
1103,-6.525E+00
1109, 4.591E+00
1134,-7.685E+00
1264,-3.090E+00
1276,-2.762E+00
1303, 6.550E+00
1440,-1.597E+01
1457,-5.624E+00
343,-3.092E+00
456,-6.932E+00
532,-3.682E+00
596,-1.948E+00
670, 0.000E+00
711, 0.000E+00
717,-1.810E+00
775,-4.533E+00
786,-4.340E+00
795, 5.410E+00
862,-6.410E+00
937,-6.540E+00
984, 6.090E+00
1133, 5.529E+00
1326,-7.665E+00
1425,-1.410E+00
71,-1.655E+00
97, 3.982E+00
112,-1.930E+00
257,-1.913E+00
289,-6.195E+00
443,-2.628E+00
450,-5.067E-01
583,-8.151E-01
762, 4.750E+00
773, 2.306E+00
973,-6.611E+00
1124,-5.964E+00
1196,-2.595E+00
1227,-5.263E+00
1383,-4.493E+00
1410, 4.113E+00
162,-8.532E+00
225,-1.976E+01
